trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-272.3164246310007,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-185.7600144039675,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-133.12034911569938,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-69.94843592722404,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,13,6.2925852881094855,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-84.88225519264797,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-107.16822748163744,"{0: 20, 1: 2, 2: 5, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-84.48352903580573,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-123.30211682273666,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-89.76577541872378,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-108.6239798821501,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-39.332106633998805,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-58.464768319591386,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-14.069637976002106,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-75.88756287185713,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-102.28194087981711,"{0: 24, 1: 1, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,3,22.002421717737207,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,12.45692925848446,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-50.16667954852468,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,2.1041790122899826,"{0: 32, 1: 1, 2: 1, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-69.70014918196023,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,17,-42.13064420652428,"{0: 5, 1: 0, 2: 1, 3: 2, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,13,-26.353734904196724,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-28.575469256507592,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-34.27943914676067,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,16,-19.276600456288914,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,31.345308588850784,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-45.709397697605695,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,0,-22.64385395012463,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,0,4.233459051592653,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
