trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",35,0,-141.20013982772514,"{0: 23, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9999980000006666}",20,0,-136.38289924912746,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.002, 'e': 0.9999920000106667}",20,0,-51.22663234178196,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.999982000054}",20,0,-95.79462888429728,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9999680001706663}",30,0,-127.68287516497855,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.002, 'e': 0.9999500004166653}",25,0,-111.9192367796,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
7,False,"{'a': 0.002, 'e': 0.9999280008639958}",25,0,-208.0052715923286,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
8,False,"{'a': 0.002, 'e': 0.9999020016006562}",20,0,-80.0278722038822,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.002, 'e': 0.9998720027306434}",20,0,-94.09132497457361,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9998380043739528}",20,0,-128.08138006991118,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9998000066665778}",20,0,-41.650658609367596,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.002, 'e': 0.9997580097605092}",25,0,-151.96737205259168,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9997120138237345}",25,0,-127.35808265231934,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9996620190402377}",25,0,-141.88033458087278,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.002, 'e': 0.9996080256099974}",30,0,-72.31199475880535,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.002, 'e': 0.9995500337489875}",20,0,-91.383874272144,"{0: 9, 1: 3, 2: 7, 3: 1, 4: 0}",0
17,False,"{'a': 0.002, 'e': 0.9994880436891754}",20,0,-149.52461682745212,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.002, 'e': 0.9994220556785212}",25,0,-90.7417465267614,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9993520699809768}",25,0,-99.2821362209632,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",1
20,False,"{'a': 0.002, 'e': 0.9992780868764849}",35,0,-226.69285911224694,"{0: 20, 1: 2, 2: 7, 3: 4, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9992001066609779}",25,0,-108.66170342611598,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.002, 'e': 0.9991181296463766}",20,0,-157.96429461675154,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
23,False,"{'a': 0.002, 'e': 0.9990321561605888}",20,0,-90.66729136733511,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.002, 'e': 0.9989421865475084}",30,0,-174.7568066037369,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
25,False,"{'a': 0.002, 'e': 0.9988482211670138}",25,0,-96.02204682815992,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.9987502603949663}",25,14,-10.586098701682,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.002, 'e': 0.9986483046232089}",25,0,-178.9231071638466,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.9985423542595644}",20,0,-109.66926877920677,"{0: 10, 1: 8, 2: 0, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9984324097278344}",20,0,-98.72797094295314,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9983184714677966}",35,0,-150.27107053018884,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",1
31,False,"{'a': 0.002, 'e': 0.9982005399352042}",25,0,-121.00273054879337,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9980786156017829}",25,0,-122.47689776844855,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.99795269895523}",20,13,-2.032834344346494,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.002, 'e': 0.9978227904992117}",20,0,-96.15222429216475,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9976888907533621}",20,0,-166.5257535061901,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
36,False,"{'a': 0.002, 'e': 0.9975510002532796}",20,0,-197.94145670286844,"{0: 7, 1: 5, 2: 4, 3: 1, 4: 3}",0
37,False,"{'a': 0.002, 'e': 0.9974091195505261}",25,0,-67.67647800812486,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
38,False,"{'a': 0.002, 'e': 0.9972632492126244}",30,0,-40.520661631362785,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.002, 'e': 0.9971133898230555}",20,0,-148.40155687052066,"{0: 7, 1: 3, 2: 6, 3: 4, 4: 0}",0
40,False,"{'a': 0.002, 'e': 0.9969595419812568}",20,0,-47.0089842816804,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.002, 'e': 0.9968017063026194}",20,0,-94.85983356572488,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
42,False,"{'a': 0.002, 'e': 0.9966398834184859}",25,0,-57.75482648011368,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
43,False,"{'a': 0.002, 'e': 0.9964740739761475}",20,0,-128.0788304715079,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
44,False,"{'a': 0.002, 'e': 0.996304278638842}",30,0,-203.49493872598623,"{0: 14, 1: 7, 2: 4, 3: 3, 4: 2}",0
