trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.5265043817908,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.25016212630761,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.29846093465106,"{0: 12, 1: 5, 2: 0, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,10,-99.6922892053753,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.023943811027465,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.50862452631765,"{0: 14, 1: 3, 2: 8, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.03905918099295,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.6256216454515,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.90785326187446,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.41814715722977,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.62936504506906,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.53464206117987,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-185.5482880236245,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.28850442857272,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.09211538157487,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-253.17312697345508,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.53093241018455,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.19070968889294,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.0074135742246,"{0: 10, 1: 7, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.79621376036033,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.9618270392289,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-36.4574889617048,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-121.44159564155127,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-34.27235880538046,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-145.17022682242967,"{0: 18, 1: 0, 2: 10, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.1749515420619,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-190.28795443326416,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,14,-10.252696948896407,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.11863304668911,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.11670519513578,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
